,SJ,Date,PM10.SJ,PM25.SJ,Address.SJ,IG,PM10.IG,PM25.IG,Address.IG,GC,PM10.GC,PM25.GC,Address.GC
1,서울 중구,2018010101,34,19,서울 중구 덕수궁길 15,인천 강화군,36,18,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,35,7,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
2,서울 중구,2018010102,27,14,서울 중구 덕수궁길 15,인천 강화군,37,22,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,41,23,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
3,서울 중구,2018010103,26,14,서울 중구 덕수궁길 15,인천 강화군,37,20,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,42,20,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
4,서울 중구,2018010104,26,15,서울 중구 덕수궁길 15,인천 강화군,37,16,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,40,18,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
5,서울 중구,2018010105,28,16,서울 중구 덕수궁길 15,인천 강화군,40,21,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,32,13,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
6,서울 중구,2018010106,29,17,서울 중구 덕수궁길 15,인천 강화군,35,17,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,27,17,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
7,서울 중구,2018010107,28,16,서울 중구 덕수궁길 15,인천 강화군,34,16,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,27,14,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
8,서울 중구,2018010108,27,14,서울 중구 덕수궁길 15,인천 강화군,33,21,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,33,18,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
9,서울 중구,2018010109,27,14,서울 중구 덕수궁길 15,인천 강화군,40,18,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,42,27,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
10,서울 중구,2018010110,25,12,서울 중구 덕수궁길 15,인천 강화군,37,15,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,48,28,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
11,서울 중구,2018010111,31,16,서울 중구 덕수궁길 15,인천 강화군,52,34,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,58,32,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
12,서울 중구,2018010112,30,17,서울 중구 덕수궁길 15,인천 강화군,52,35,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,59,33,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
13,서울 중구,2018010113,24,13,서울 중구 덕수궁길 15,인천 강화군,51,32,인천 강화군 송해면 전망대로 29(솔정리),강원 춘천시,60,34,강원 춘천시 중앙로길 135(중앙로 3가 67-1)
