지점,일시,강수량(mm),풍속(m/s),풍향(16방위),지점,일시,1시간평균 미세먼지농도(㎍/㎥),지점,일시,강수량(mm),풍속(m/s),풍향(16방위),지점,일시,1시간평균 미세먼지농도(㎍/㎥),지점,일시,강수량(mm),풍속(m/s),풍향(16방위),지점,일시,1시간평균 미세먼지농도(㎍/㎥)
201,2019-01-01 0:00,,0.6,290,201,2019-01-01 0:00,76,108,2019-01-01 0:00,,1,290,108,2019-01-01 0:00,59,101,2019-01-01 0:00,,0.4,0,93,2019-01-01 0:00,43
201,2019-01-01 1:00,,1.6,360,201,2019-01-01 1:00,61,108,2019-01-01 1:00,,1.8,270,108,2019-01-01 1:00,58,101,2019-01-01 1:00,,0.3,0,93,2019-01-01 1:00,41
201,2019-01-01 2:00,,0.5,340,201,2019-01-01 2:00,57,108,2019-01-01 2:00,,1.2,290,108,2019-01-01 2:00,44,101,2019-01-01 2:00,,1.4,50,93,2019-01-01 2:00,61
201,2019-01-01 3:00,,0.7,290,201,2019-01-01 3:00,60,108,2019-01-01 3:00,,2.2,270,108,2019-01-01 3:00,48,101,2019-01-01 3:00,,0.3,0,93,2019-01-01 3:00,64
201,2019-01-01 4:00,,0.6,340,201,2019-01-01 4:00,55,108,2019-01-01 4:00,,1.2,270,108,2019-01-01 4:00,51,101,2019-01-01 4:00,,0.3,0,93,2019-01-01 4:00,51
201,2019-01-01 5:00,,0.4,0,201,2019-01-01 5:00,41,108,2019-01-01 5:00,,2.1,270,108,2019-01-01 5:00,54,101,2019-01-01 5:00,,0.4,0,93,2019-01-01 5:00,42
201,2019-01-01 6:00,,0.8,20,201,2019-01-01 6:00,33,108,2019-01-01 6:00,,1.3,290,108,2019-01-01 6:00,65,101,2019-01-01 6:00,,1,20,93,2019-01-01 6:00,39
201,2019-01-01 7:00,,0.8,360,201,2019-01-01 7:00,32,108,2019-01-01 7:00,,1.3,320,108,2019-01-01 7:00,49,101,2019-01-01 7:00,,0.8,20,93,2019-01-01 7:00,45
201,2019-01-01 8:00,,0.9,340,201,2019-01-01 8:00,35,108,2019-01-01 8:00,,0.9,360,108,2019-01-01 8:00,39,101,2019-01-01 8:00,,0.5,320,93,2019-01-01 8:00,41
201,2019-01-01 9:00,,0.2,0,201,2019-01-01 9:00,34,108,2019-01-01 9:00,,0.9,290,108,2019-01-01 9:00,37,101,2019-01-01 9:00,,0.6,70,93,2019-01-01 9:00,47
