지점(백령도),일시,dust1,지점(연평도),일시,1시간평균 미세먼지농도(㎍/㎥),지점(서울),일시,1시간평균 미세먼지농도(㎍/㎥)
102,2019-01-01 0:00,16,501,2019-01-01 0:00,26,201,2019-01-01 0:00,76
102,2019-01-01 2:00,11,501,2019-01-01 1:00,21,201,2019-01-01 1:00,61
102,2019-01-01 3:00,15,501,2019-01-01 2:00,17,201,2019-01-01 2:00,57
102,2019-01-01 4:00,27,501,2019-01-01 3:00,22,201,2019-01-01 3:00,60
102,2019-01-01 5:00,34,501,2019-01-01 4:00,22,201,2019-01-01 4:00,55
102,2019-01-01 6:00,34,501,2019-01-01 5:00,19,201,2019-01-01 5:00,41
102,2019-01-01 7:00,38,501,2019-01-01 6:00,26,201,2019-01-01 6:00,33
102,2019-01-01 8:00,36,501,2019-01-01 7:00,26,201,2019-01-01 7:00,32
102,2019-01-01 9:00,37,501,2019-01-01 8:00,29,201,2019-01-01 8:00,35
102,2019-01-01 10:00,29,501,2019-01-01 9:00,30,201,2019-01-01 9:00,34
102,2019-01-01 11:00,24,501,2019-01-01 10:00,27,201,2019-01-01 10:00,56
102,2019-01-01 12:00,21,501,2019-01-01 11:00,29,201,2019-01-01 11:00,55
102,2019-01-01 13:00,14,501,2019-01-01 12:00,31,201,2019-01-01 12:00,38
102,2019-01-01 14:00,14,501,2019-01-01 13:00,38,201,2019-01-01 13:00,34
102,2019-01-01 15:00,9,501,2019-01-01 14:00,39,201,2019-01-01 14:00,33
102,2019-01-01 16:00,19,501,2019-01-01 15:00,29,201,2019-01-01 15:00,26
102,2019-01-01 17:00,20,501,2019-01-01 16:00,28,201,2019-01-01 16:00,33
102,2019-01-01 18:00,14,501,2019-01-01 17:00,28,201,2019-01-01 17:00,31
102,2019-01-01 19:00,12,501,2019-01-01 18:00,20,201,2019-01-01 18:00,32
102,2019-01-01 20:00,12,501,2019-01-01 19:00,12,201,2019-01-01 19:00,26
102,2019-01-01 21:00,16,501,2019-01-01 20:00,11,201,2019-01-01 20:00,26
102,2019-01-01 22:00,19,501,2019-01-01 21:00,17,201,2019-01-01 21:00,27
102,2019-01-01 23:00,16,501,2019-01-01 22:00,19,201,2019-01-01 22:00,31
102,2019-01-02 0:00,19,501,2019-01-01 23:00,17,201,2019-01-01 23:00,26
102,2019-01-02 1:00,19,501,2019-01-02 0:00,18,201,2019-01-02 0:00,24
102,2019-01-02 2:00,28,501,2019-01-02 1:00,5,201,2019-01-02 1:00,31
102,2019-01-02 3:00,32,501,2019-01-02 2:00,5,201,2019-01-02 2:00,26
102,2019-01-02 4:00,34,501,2019-01-02 3:00,17,201,2019-01-02 3:00,31
102,2019-01-02 5:00,30,501,2019-01-02 4:00,27,201,2019-01-02 4:00,25
102,2019-01-02 6:00,24,501,2019-01-02 5:00,32,201,2019-01-02 5:00,26
102,2019-01-02 7:00,22,501,2019-01-02 6:00,35,201,2019-01-02 6:00,22
102,2019-01-02 8:00,20,501,2019-01-02 7:00,34,201,2019-01-02 7:00,31
102,2019-01-02 9:00,17,501,2019-01-02 8:00,41,201,2019-01-02 8:00,26
102,2019-01-02 10:00,14,501,2019-01-02 9:00,39,201,2019-01-02 9:00,23
