지점,일시,풍향(deg),풍속(m/s),강수량(mm)
501,2019-01-01 00:00,10.5,3.5,0
501,2019-01-01 01:00,8.2,3.7,0
501,2019-01-01 02:00,18.3,3.2,0
501,2019-01-01 03:00,19.2,2,0
501,2019-01-01 04:00,9.4,2,0
501,2019-01-01 05:00,13.4,2.1,0
501,2019-01-01 06:00,28.6,2.5,0
501,2019-01-01 07:00,15.8,2.2,0
501,2019-01-01 08:00,20.5,2.6,0
501,2019-01-01 09:00,24.4,2.8,0
501,2019-01-01 10:00,16.5,3.2,0
501,2019-01-01 11:00,11.4,3.4,0
501,2019-01-01 12:00,355.2,3.9,0
501,2019-01-01 13:00,3.9,3.3,0
501,2019-01-01 14:00,332.2,5.7,0
501,2019-01-01 15:00,1,3.7,0
501,2019-01-01 16:00,344.7,4,0
501,2019-01-01 17:00,335.5,3.2,0
501,2019-01-01 18:00,23.6,4,0
501,2019-01-01 19:00,11,2.7,0
501,2019-01-01 20:00,18.7,4.3,0
501,2019-01-01 21:00,16.6,2.3,0
501,2019-01-01 22:00,10.3,2.9,0
501,2019-01-01 23:00,29.1,1.8,0
501,2019-01-02 00:00,0,0,0
501,2019-01-02 01:00,25.2,.6,0
501,2019-01-02 02:00,20.5,1.7,0
501,2019-01-02 03:00,18.7,2.8,0
501,2019-01-02 04:00,16.2,2.7,0
501,2019-01-02 05:00,17.4,2,0
501,2019-01-02 06:00,20.1,1.4,0
501,2019-01-02 07:00,16.7,1.7,0
501,2019-01-02 08:00,16.4,3.5,0
501,2019-01-02 09:00,17.1,2.6,0
501,2019-01-02 10:00,22.3,3.7,0
501,2019-01-02 11:00,17.4,3.2,0
501,2019-01-02 12:00,19.1,3.4,0
501,2019-01-02 13:00,341.7,3.5,0
501,2019-01-02 14:00,341.2,2.7,0
501,2019-01-02 15:00,339.2,2.5,0
501,2019-01-02 16:00,14.2,2.3,0
501,2019-01-02 17:00,15.9,4,0
501,2019-01-02 18:00,13.5,2.8,0
501,2019-01-02 19:00,17,4.2,0
501,2019-01-02 20:00,14,4.2,0
501,2019-01-02 21:00,21,1.7,0
