Country,MortalityFactor,Settler1900,LogProtection,LogPPP,YearOfCol,YearOfIndep,Indep,ColEra,AvgEconGrowth
ARG,68.9,0.6,6.39,9.13,1650,1816,184,166,2.586109366
AUS,8.55,0.98,9.32,9.9,1770,1901,99,131,3.713931718
BEN,,,,,1894,1960,40,66,3.367393657
BFA,280,,4.45,6.85,1896,1960,40,64,3.814592953
BGD,71.41,0,5.14,6.88,1757,1971,29,214,3.451509899
BOL,,,,,1535,1825,175,290,2.679990398
BRA,71,0.4,7.91,8.73,1531,1822,178,291,4.765658468
BRB,85,0.2,,9.27,1627,1966,34,339,0.94189473
CAN,16.1,0.99,9.73,9.99,1763,1867,133,104,3.703918675
CHI,68.9,0.5,7.82,9.34,1557,1818,182,261,4.2024676
CIV,483,,7,7.44,1893,1960,40,67,4.364365376
CMR,280,0,6.45,7.5,1858,1960,40,102,3.499457934
COG,280,0,4.68,7.42,1885,1960,40,75,4.362365947
COL,71,0.2,7.32,8.81,1595,1810,190,215,4.271883737
CRI,78.1,0.2,7.05,8.79,1509,1823,177,314,4.813750658
DOM,130,0.25,6.18,8.36,1692,1844,156,152,5.471213541
DZA,78.2,0.13,6.5,8.39,1830,1962,38,132,3.902592526
ECU,71,0.3,6.77,8.47,1532,1830,170,298,3.91585007
EGY,67.8,0.01,6.77,7.95,1882,1952,48,70,5.380508939
GAB,,,,,1839,1960,40,121,5.016591452
GHA,483,0,6.27,7.37,1874,1957,43,83,2.536444809
GIN,483,0,6.55,7.49,1849,1958,42,109,4.074588989
GTM,71,0.2,5.14,8.29,1524,1821,179,297,4.053278772
HKG,14.9,0.04,8.14,10.05,1842,1997,3,155,7.173445337
HND,78.1,0.2,5.32,7.69,1539,1821,179,282,4.009832927
IDN,170,0,7.59,7.33,1602,1956,44,354,5.241762998
IND,48.63,0,8.27,7.33,1857,1950,50,93,4.571490683
ISR,,,,,1917,1948,52,31,6.072560306
JAM,130,0.02,7.09,8.19,1655,1962,38,307,1.913607343
JOR,,,,,1916,1946,54,30,6.162042192
KEN,280,0.01,6.05,7.06,1895,1963,37,68,4.708306488
KOR,,,,,1910,1945,55,35,8.949502414
LKA,69.8,0,6.05,7.73,1815,1948,52,133,4.617477738
LSO,,,,,1868,1966,34,98,5.380534613
MAR,78.2,0.01,7.09,8.04,1830,1956,44,126,4.823400709
MDG,302,0,4.45,6.84,1896,1960,40,64,1.61821647
MEX,71,0.15,7.5,8.94,1521,1820,180,299,4.757305216
MLI,280,0,4,6.57,1899,1960,40,61,3.65982492
MOZ,,,,,1505,1975,25,470,4.044010136
MUS,30.5,0.05,,9.05,1598,1968,32,370,4.906813057
MWI,,,,,1892,1964,36,72,4.258230509
MYS,17.7,0,7.95,8.89,1786,1957,43,171,6.907602032
NER,280,0,5,6.73,1906,1960,40,54,1.632535093
NGA,483,0,5.55,6.81,1900,1960,40,60,2.825428743
NIC,163.3,0.2,5.23,7.54,1502,1821,179,319,2.499348913
NZL,8.55,0.93,9.73,9.76,1840,1907,93,67,2.347410294
PAK,36.99,0,6.05,7.35,1857,1950,50,93,5.552644207
PAN,163.3,0.2,5.91,8.84,1501,1812,188,311,5.0416564
PER,71,0.3,5.77,8.4,1532,1824,176,292,3.073683635
PHL,,,,,1565,1945,55,380,3.886688671
PRY,78.1,0.25,6.95,8.21,1536,1811,189,275,5.165158413
SEN,164.66,0,7.4,7.4,1854,1960,40,106,2.395593744
SLV,78.1,0.2,5,7.95,1524,1823,177,299,2.569701233
SYR,,,,,1920,1945,55,25,5.933341297
TCD,280,0,,6.84,1910,1960,40,50,1.833323311
TGO,483,0,6.91,7.22,1885,1960,40,75,4.127331162
TTO,85,0.4,7.45,8.77,1814,1976,24,162,2.809987555
UGA,280,0,4.45,6.97,1894,1962,38,68,5.169305989
URY,71,0.6,7,9.03,1680,1828,172,148,2.021124673
USA,15,0.88,10,10.22,1607,1776,224,169,3.62915943
VEN,78.1,0.2,7.14,9.07,1498,1821,179,323,2.741095234
ZMB,,,,,1888,1980,20,92,4.039921847
ZAF,15.5,0.22,6.86,8.89,1815,1961,39,146,3.1232771
